# pinax figure data — xlabel=t ylabel=x(t)
series,x,y
y1,0.0,1.0
y1,0.01,0.9960577237384503
y1,0.02,0.9912375351048106
y1,0.03,0.9855499395564989
y1,0.04,0.9790061577384594
y1,0.05,0.9716181102948163
y1,0.06,0.9633984021501778
y1,0.07,0.9543603062785798
y1,0.08,0.9445177469783956
y1,0.09,0.9338852826718623
y1,0.1,0.9224780882481729
y1,0.11,0.910311936969372
y1,0.12,0.8974031819585466
y1,0.13,0.8837687372900598
y1,0.14,0.8694260587017844
y1,0.15,0.8543931239495128
y1,0.16,0.8386884128238932
y1,0.17,0.8223308868504099
y1,0.18,0.805339968693075
y1,0.19,0.7877355212826166
y1,0.2,0.7695378266900595
y1,0.21,0.7507675647666776
y1,0.22,0.7314457915713639
y1,0.23,0.7115939176065118
y1,0.24,0.6912336858835241
y1,0.25,0.6703871498390792
y1,0.26,0.6490766511232676
y1,0.27,0.6273247972806856
y1,0.28,0.6051544393455162
y1,0.29,0.5825886493715686
y1,0.3,0.5596506979181497
y1,0.31,0.5363640315125469
y1,0.32,0.5127522501097648
y1,0.33,0.48883908457003056
y1,0.34,0.46464837417441296
y1,0.35,0.44020404419872783
y1,0.36,0.41553008356570986
y1,0.37,0.3906505225952194
y1,0.38,0.3655894108720204
y1,0.39,0.3403707952504369
y1,0.4,0.31501869801491456
y1,0.41,0.289557095215265
y1,0.42,0.2640098951950555
y1,0.43,0.23840091733132332
y1,0.44,0.21275387100346094
y1,0.45,0.1870923348087928
y1,0.46,0.16143973604201514
y1,0.47,0.13581933045531214
y1,0.48,0.11025418231558637
y1,0.49,0.08476714477486279
y1,0.5,0.05938084056952049
y1,0.51,0.03411764306360579
y1,0.52,0.008999657651056883
y1,0.53,-0.015951296468757998
y1,0.54,-0.040713704128227134
y1,0.55,-0.06526637162789402
y1,0.56,-0.0895884437590145
y1,0.57,-0.11365942039968513
y1,0.58,-0.13745917267243307
y1,0.59,-0.1609679586516372
y1,0.6,-0.18416643860964288
y1,0.61,-0.20703568979093415
y1,0.62,-0.22955722070421672
y1,0.63,-0.2517129849227942
y1,0.64,-0.27348539438411157
y1,0.65,-0.2948573321798819
y1,0.66,-0.31581216482871166
y1,0.67,-0.3363337540236908
y1,0.68,-0.35640646784791985
y1,0.69,-0.37601519145150114
y1,0.7,-0.39514533718403705
y1,0.71,-0.4137828541772284
y1,0.72,-0.4319142373726944
y1,0.73,-0.449526535990683
y1,0.74,-0.4666073614358674
y1,0.75,-0.4831448946369744
y1,0.76,-0.4991278928175171
y1,0.77,-0.5145456956954523
y1,0.78,-0.5293882311101046
y1,0.79,-0.5436460200752405
y1,0.8,-0.5573101812577017
y1,0.81,-0.5703724348815324
y1,0.82,-0.5828251060580638
y1,0.83,-0.5946611275429252
y1,0.84,-0.6058740419214802
y1,0.85,-0.6164580032246849
y1,0.86,-0.6264077779778747
y1,0.87,-0.6357187456854774
y1,0.88,-0.6443868987551542
y1,0.89,-0.6524088418653398
y1,0.9,-0.6597817907806459
y1,0.91,-0.666503570620051
y1,0.92,-0.6725726135832719
y1,0.93,-0.6779879561411596
y1,0.94,-0.6827492356964169
y1,0.95,-0.6868566867213616
y1,0.96,-0.6903111363799003
y1,0.97,-0.693113999641285
y1,0.98,-0.6952672738936435
y1,0.99,-0.696773533065667
y1,1.0,-0.6976359212652278
y1,1.01,-0.6978581459440829
y1,1.02,-0.6974444705981798
y1,1.03,-0.6963997070134397
y1,1.04,-0.6947292070672382
y1,1.05,-0.6924388540961344
y1,1.06,-0.6895350538407206
y1,1.07,-0.6860247249787742
y1,1.08,-0.6819152892581887
y1,1.09,-0.6772146612414434
y1,1.1,-0.6719312376736469
y1,1.11,-0.6660738864864407
y1,1.12,-0.6596519354503019
y1,1.13,-0.6526751604880089
y1,1.14,-0.6451537736622612
y1,1.15,-0.6370984108506417
y1,1.16,-0.6285201191213068
y1,1.17,-0.6194303438229689
y1,1.18,-0.609840915402898
y1,1.19,-0.5997640359668208
y1,1.2,-0.589212265594738
y1,1.21,-0.5781985084267989
y1,1.22,-0.5667359985334846
y1,1.23,-0.5548382855844516
y1,1.24,-0.5425192203304616
y1,1.25,-0.5297929399129055
y1,1.26,-0.5166738530154705
y1,1.27,-0.5031766248725548
y1,1.28,-0.48931616214905016
y1,1.29,-0.4751075977061403
y1,1.3,-0.4605662752677538
y1,1.31,-0.44570773400230335
y1,1.32,-0.4305476930343177
y1,1.33,-0.4151020359005349
y1,1.34,-0.39938679496497365
y1,1.35,-0.38341813580743317
y1,1.36,-0.36721234159980104
y1,1.37,-0.3507857974844518
y1,1.38,-0.3341549749689293
y1,1.39,-0.3173364163509722
y1,1.4,-0.3003467191878434
y1,1.41,-0.2832025208237558
y1,1.42,-0.2659204829890695
y1,1.43,-0.2485172764847457
y1,1.44,-0.23100956596539213
y1,1.45,-0.21341399483404294
y1,1.46,-0.19574717026161986
y1,1.47,-0.17802564834383214
y1,1.48,-0.16026591940803675
y1,1.49,-0.14248439348237557
y1,1.5,-0.12469738593926896
y1,1.51,-0.10692110332509067
y1,1.52,-0.08917162938761371
y1,1.53,-0.07146491131254588
y1,1.54,-0.05381674618020485
y1,1.55,-0.036242767653115626
y1,1.56,-0.018758432905011058
y1,1.57,-0.0013790098014371858
y1,1.58,0.015880435658134
y1,1.59,0.03300505162710337
y1,1.6,0.049980212418169634
y1,1.61,0.06679153022042504
y1,1.62,0.0834248665184918
y1,1.63,0.09986634320538959
y1,1.64,0.11610235338118208
y1,1.65,0.132119571829763
y1,1.66,0.14790496516651933
y1,1.67,0.16344580164992814
y1,1.68,0.17872966065052487
y1,1.69,0.19374444177101902
y1,1.7,0.2084783736117018
y1,1.71,0.22292002217565543
y1,1.72,0.23705829890862934
y1,1.73,0.2508824683688319
y1,1.74,0.2643821555222433
y1,1.75,0.277547352659427
y1,1.76,0.2903684259301999
y1,1.77,0.30283612149288175
y1,1.78,0.3149415712752236
y1,1.79,0.3266762983444903
y1,1.8,0.33803222188453497
y1,1.81,0.34900166177809216
y1,1.82,0.35957734279287223
y1,1.83,0.36975239837041424
y1,1.84,0.37952037401703004
y1,1.85,0.38887523029652815
y1,1.86,0.39781134542477636
y1,1.87,0.4063235174665231
y1,1.88,0.4144069661352513
y1,1.89,0.4220573341972043
y1,1.9,0.4292706884810614
y1,1.91,0.43604352049510187
y1,1.92,0.44237274665403054
y1,1.93,0.4482557081179844
y1,1.94,0.45369017024656955
y1,1.95,0.4586743216711116
y1,1.96,0.46320677298862617
y1,1.97,0.4672865550813329
y1,1.98,0.4709131170658567
y1,1.99,0.47408632387656013
y1,2.0,0.47680645348775674
y1,2.01,0.47907419377985
y1,2.02,0.48089063905473023
y1,2.03,0.48225728620604214
y1,2.04,0.4831760305502144
y1,2.05,0.48364916132440416
y1,2.06,0.48367935685777463
y1,2.07,0.48326967942277227
y1,2.08,0.48242356977331724
y1,2.09,0.48114484137705404
y1,2.1,0.4794376743490412
y1,2.11,0.4773066090944759
y1,2.12,0.4747565396682615
y1,2.13,0.47179270685943026
y1,2.14,0.4684206910086262
y1,2.15,0.4646464045670397
y1,2.16,0.4604760844053589
y1,2.17,0.45591628388147765
y1,2.18,0.4509738646758462
y1,2.19,0.44565598840351583
y1,2.2,0.43997010801204983
y1,2.21,0.43392395897462344
y1,2.22,0.427525550287739
y1,2.23,0.420783155283108
y1,2.24,0.4137053022633437
y1,2.25,0.4063007649712103
y1,2.26,0.39857855290224714
y1,2.27,0.39054790147067164
y1,2.28,0.38221826203852305
y1,2.29,0.37359929181805757
y1,2.3,0.36470084365746946
y1,2.31,0.3555329557200249
y1,2.32,0.3461058410667433
y1,2.33,0.33642987715275946
y1,2.34,0.3265155952475271
y1,2.35,0.3163736697889977
y1,2.36,0.3060149076819296
y1,2.37,0.29545023755042654
y1,2.38,0.2846906989548113
y1,2.39,0.27374743158287096
y1,2.4,0.26263166442548863
y1,2.41,0.25135470494660045
y1,2.42,0.23992792825737277
y1,2.43,0.22836276630439553
y1,2.44,0.2166706970816416
y1,2.45,0.2048632338758112
y1,2.46,0.19295191455462402
y1,2.47,0.18094829090748066
y1,2.48,0.16886391804782985
y1,2.49,0.15671034388643254
y1,2.5,0.14449909868461056
y1,2.51,0.13224168469640135
y1,2.52,0.11994956590843012
y1,2.53,0.10763415788613645
y1,2.54,0.09530681773483751
y1,2.55,0.08297883418396708
y1,2.56,0.07066141780262834
y1,2.57,0.05836569135445237
y1,2.58,0.04610268029954521
y1,2.59,0.03388330345114551
y1,2.6,0.021718363794388722
y1,2.61,0.009618539474413981
y1,2.62,-0.0024056250391981207
y1,2.63,-0.014343727604834723
y1,2.64,-0.026185516871536488
y1,2.65,-0.037920900545577424
y1,2.66,-0.04953995345480435
y1,2.67,-0.061032925404803075
y1,2.68,-0.07239024882121875
y1,2.69,-0.08360254617275542
y1,2.7,-0.09466063716965854
y1,2.71,-0.10555554573268099
y1,2.72,-0.11627850672782428
y1,2.73,-0.12682097246233565
y1,2.74,-0.13717461893775595
y1,2.75,-0.14733135185599835
y1,2.76,-0.15728331237474497
y1,2.77,-0.16702288260866152
y1,2.78,-0.17654269087320992
y1,2.79,-0.18583561666809198
y1,2.8,-0.19489479539759708
y1,2.81,-0.2037136228254179
y1,2.82,-0.21228575926171173
y1,2.83,-0.22060513348049718
y1,2.84,-0.22866594636568133
y1,2.85,-0.236462674284316
y1,2.86,-0.24399007218590255
y1,2.87,-0.2512431764268545
y1,2.88,-0.258217307319456
y1,2.89,-0.26490807140492423
y1,2.9,-0.27131136345044055
y1,2.91,-0.2774233681702502
y1,2.92,-0.2832405616711963
y1,2.93,-0.28875971262329975
y1,2.94,-0.29397788315622936
y1,2.95,-0.2988924294827707
y1,2.96,-0.30350100225062077
y1,2.97,-0.3078015466240941
y1,2.98,-0.3117923020975379
y1,2.99,-0.3154718020425106
y1,3.0,-0.3188388729909814
y1,3.01,-0.3218926336570517
y1,3.02,-0.3246324936999058
y1,3.03,-0.32705815223092416
y1,3.04,-0.3291695960681
y1,3.05,-0.33096709774110644
y1,3.06,-0.3324512132505728
y1,3.07,-0.33362277958531134
y1,3.08,-0.3344829120014517
y1,3.09,-0.3350330010676073
y1,3.1,-0.33527470948039756
y1,3.11,-0.3352099686548194
y1,3.12,-0.3348409750941391
y1,3.13,-0.3341701865441435
y1,3.14,-0.3332003179367469
y1,3.15,-0.3319343371281149
y1,3.16,-0.33037546043660787
y1,3.17,-0.32852714798600124
y1,3.18,-0.3263930988595691
y1,3.19,-0.3239772460707595
y1,3.2,-0.3212837513563088
y1,3.21,-0.318316999797771
y1,3.22,-0.3150815942775423
y1,3.23,-0.3115823497755812
y1,3.24,-0.3078242875131138
y1,3.25,-0.3038126289497201
y1,3.26,-0.2995527896402754
y1,3.27,-0.2950503729583133
y1,3.28,-0.2903111636924459
y1,3.29,-0.285341121522544
y1,3.3,-0.28014637438245366
y1,3.31,-0.2747332117160635
y1,3.32,-0.26910807763361055
y1,3.33,-0.2632775639751259
y1,3.34,-0.25724840328798665
y1,3.35,-0.2510274617255467
y1,3.36,-0.24462173187386116
y1,3.37,-0.2380383255135163
y1,3.38,-0.23128446632360614
y1,3.39,-0.22436748253488747
y1,3.4,-0.21729479953914344
y1,3.41,-0.21007393246178474
y1,3.42,-0.20271247870469405
y1,3.43,-0.19521811046629492
y1,3.44,-0.1875985672458144
y1,3.45,-0.17986164833864932
y1,3.46,-0.17201520532973427
y1,3.47,-0.16406713459173292
y1,3.48,-0.1560253697948579
y1,3.49,-0.1478978744350241
y1,3.5,-0.1396926343870202
