key	file	read_sha256	result_sha256	observation	completed_at
model.rho=14.0;#sample=1	data/lorenz/sweep/modrho14.00/data_sample001.jld2	18790c601a4c101724ac13bf9fafcff2110f2b4c130de3b31f469126639768d3	18790c601a4c101724ac13bf9fafcff2110f2b4c130de3b31f469126639768d3	obs1-20260923T063537Z-18cb5c-cf34678888982042	2026-09-23T06:35:38Z
model.rho=16.0;#sample=1	data/lorenz/sweep/modrho16.00/data_sample001.jld2	eb4d2e905a7106a0492d85671aec50bf01e6c96c4727a0c53721419df833aa80	eb4d2e905a7106a0492d85671aec50bf01e6c96c4727a0c53721419df833aa80	obs1-20260923T063537Z-18cb5c-cf34678888982042	2026-09-23T06:35:39Z
model.rho=18.0;#sample=1	data/lorenz/sweep/modrho18.00/data_sample001.jld2	ecd1b339610c27aa327278489b1f6b930edf7c286fcc48797ef98e29fd20d926	ecd1b339610c27aa327278489b1f6b930edf7c286fcc48797ef98e29fd20d926	obs1-20260923T063537Z-18cb5c-cf34678888982042	2026-09-23T06:35:39Z
model.rho=20.0;#sample=1	data/lorenz/sweep/modrho20.00/data_sample001.jld2	c942c4126e7ce499e9e2249a948ac43bef91821afe5a61f566beb3214374e49e	c942c4126e7ce499e9e2249a948ac43bef91821afe5a61f566beb3214374e49e	obs1-20260923T063537Z-18cb5c-cf34678888982042	2026-09-23T06:35:39Z
model.rho=22.0;#sample=1	data/lorenz/sweep/modrho22.00/data_sample001.jld2	b6c541b366e5d903cf76bd863b0840446ed51f7ac9bff0ad5bba778ceff2e1fe	b6c541b366e5d903cf76bd863b0840446ed51f7ac9bff0ad5bba778ceff2e1fe	obs1-20260923T063537Z-18cb5c-cf34678888982042	2026-09-23T06:35:39Z
model.rho=24.0;#sample=1	data/lorenz/sweep/modrho24.00/data_sample001.jld2	acc3bc375a926114aa13818a7ecca072a7ce278a56bac2d967811398be79c2fb	acc3bc375a926114aa13818a7ecca072a7ce278a56bac2d967811398be79c2fb	obs1-20260923T063537Z-18cb5c-cf34678888982042	2026-09-23T06:35:39Z
model.rho=24.74;#sample=1	data/lorenz/sweep/modrho24.74/data_sample001.jld2	c5b397fec31617f7262c307cfaf0fa83a1eb64d3e16a9287496437a5c25b9167	c5b397fec31617f7262c307cfaf0fa83a1eb64d3e16a9287496437a5c25b9167	obs1-20260923T063537Z-18cb5c-cf34678888982042	2026-09-23T06:35:40Z
model.rho=26.0;#sample=1	data/lorenz/sweep/modrho26.00/data_sample001.jld2	fbdcd9dd2560791f64cf9aa0bd4eaafaaacc36e75a2689c72e109144abadc9b2	fbdcd9dd2560791f64cf9aa0bd4eaafaaacc36e75a2689c72e109144abadc9b2	obs1-20260923T063537Z-18cb5c-cf34678888982042	2026-09-23T06:35:40Z
model.rho=28.0;#sample=1	data/lorenz/sweep/modrho28.00/data_sample001.jld2	6a54d575d203a67fc1957bf9a2ed8b481bf53796c9e17cccf5107bd49a767836	6a54d575d203a67fc1957bf9a2ed8b481bf53796c9e17cccf5107bd49a767836	obs1-20260923T063537Z-18cb5c-cf34678888982042	2026-09-23T06:35:40Z
model.rho=30.0;#sample=1	data/lorenz/sweep/modrho30.00/data_sample001.jld2	e095db6f1fc02fcdd634b528097c14c5d6d180a492e1d30b16baf2a372a3e5e2	e095db6f1fc02fcdd634b528097c14c5d6d180a492e1d30b16baf2a372a3e5e2	obs1-20260923T063537Z-18cb5c-cf34678888982042	2026-09-23T06:35:40Z
model.rho=35.0;#sample=1	data/lorenz/sweep/modrho35.00/data_sample001.jld2	a980c0b2213080b77690bf405d8b8cf4d3c5ca190906c6ee8810c255f27d23b7	a980c0b2213080b77690bf405d8b8cf4d3c5ca190906c6ee8810c255f27d23b7	obs1-20260923T063537Z-18cb5c-cf34678888982042	2026-09-23T06:35:40Z
model.rho=40.0;#sample=1	data/lorenz/sweep/modrho40.00/data_sample001.jld2	819806c374c542e252982b881e94657a485dc597ee9c2dd0340b14b9288b7da5	819806c374c542e252982b881e94657a485dc597ee9c2dd0340b14b9288b7da5	obs1-20260923T063537Z-18cb5c-cf34678888982042	2026-09-23T06:35:41Z
